,ship-service-level,Category,Amount
427,Expedited,Shirt,363.0
428,Expedited,Shirt,471.0
429,Expedited,Shirt,
430,Expedited,Blazzer,744.0
431,Expedited,Shirt,399.0
432,Standard,Shirt,568.0
433,Expedited,T-shirt,835.0
434,Standard,Shirt,568.0
435,Expedited,Blazzer,899.0
436,Expedited,Shirt,406.0
437,Standard,T-shirt,0.0
438,Standard,T-shirt,570.48
439,Standard,Shirt,399.0
440,Expedited,T-shirt,789.0
441,Expedited,Shoes,620.0
442,Standard,T-shirt,0.0
443,Standard,T-shirt,631.0
444,Expedited,Shirt,499.0
445,Expedited,Blazzer,807.0
446,Expedited,T-shirt,666.0
447,Standard,T-shirt,0.0
448,Expedited,Shirt,329.0
449,Expedited,Shirt,
450,Standard,T-shirt,0.0
451,Standard,Shirt,399.0
452,Expedited,Shirt,399.0
453,Expedited,Shirt,487.0
454,Expedited,T-shirt,1033.0
455,Expedited,Trousers,625.0
456,Expedited,Trousers,432.0
457,Expedited,Shirt,
458,Expedited,T-shirt,1115.0
459,Expedited,Shirt,511.0
460,Expedited,T-shirt,599.0
461,Expedited,Trousers,545.0
462,Expedited,Shirt,353.0
463,Expedited,T-shirt,563.0
464,Expedited,Trousers,487.0
465,Expedited,Shirt,352.0
466,Expedited,Shirt,376.0
467,Standard,Trousers,599.0
468,Standard,Wallet,329.0
469,Expedited,T-shirt,1133.0
470,Expedited,T-shirt,684.0
471,Expedited,T-shirt,
472,Expedited,Shirt,435.0
473,Expedited,Shirt,399.0
474,Expedited,Shirt,399.0
475,Expedited,Shirt,399.0
476,Expedited,T-shirt,788.0
477,Standard,Shirt,549.0
478,Expedited,T-shirt,654.0
479,Expedited,Shirt,399.0
480,Standard,T-shirt,599.0
481,Expedited,T-shirt,874.0
482,Standard,Shirt,533.0
483,Expedited,Shirt,399.0
484,Expedited,Blazzer,744.0
485,Expedited,Shirt,499.0
486,Expedited,Shirt,399.0
487,Expedited,Shirt,376.0
488,Expedited,Shirt,486.0
489,Expedited,Shirt,399.0
490,Expedited,Shirt,
491,Expedited,Shirt,424.0
492,Standard,Shirt,362.0
493,Expedited,Trousers,599.0
494,Expedited,T-shirt,597.0
495,Expedited,Trousers,487.0
496,Standard,T-shirt,563.0
497,Expedited,Shirt,487.0
498,Expedited,T-shirt,1099.0
499,Expedited,T-shirt,654.0
500,Expedited,Shirt,329.0
501,Expedited,Blazzer,
502,Expedited,T-shirt,1186.0
503,Expedited,Blazzer,588.0
504,Standard,Shirt,
505,Expedited,Shirt,329.0
506,Expedited,Shirt,259.0
507,Expedited,Shirt,487.0
508,Standard,T-shirt,549.0
509,Expedited,T-shirt,626.0
510,Expedited,Shirt,
511,Standard,Shirt,570.48
512,Standard,Shirt,319.0
513,Expedited,Trousers,518.0
514,Expedited,Perfume,899.0
515,Expedited,Blazzer,807.0
516,Standard,Trousers,463.0
517,Expedited,T-shirt,653.0
518,Expedited,T-shirt,1140.0
519,Expedited,Shirt,
520,Expedited,T-shirt,1260.0
521,Expedited,T-shirt,909.0
522,Expedited,Shirt,
523,Expedited,T-shirt,968.0
524,Expedited,T-shirt,788.0
525,Expedited,Blazzer,771.0
526,Expedited,Shirt,399.0
527,Expedited,T-shirt,888.0
528,Expedited,T-shirt,1221.0
529,Expedited,Shirt,399.0
530,Standard,Shirt,471.0
531,Expedited,T-shirt,545.0
532,Expedited,T-shirt,968.0
533,Expedited,Shirt,499.0
534,Expedited,Shirt,399.0
535,Expedited,Shirt,399.0
536,Expedited,T-shirt,
537,Expedited,Shirt,471.0
538,Standard,Shirt,386.67
539,Standard,Shirt,452.38
540,Expedited,T-shirt,1112.0
541,Expedited,T-shirt,
542,Expedited,T-shirt,1338.0
543,Expedited,Shirt,517.0
544,Expedited,Shirt,329.0
545,Expedited,Blazzer,725.0
546,Expedited,Shirt,363.0
547,Expedited,T-shirt,666.0
548,Expedited,T-shirt,
549,Expedited,Blazzer,588.0
550,Expedited,T-shirt,449.0
551,Expedited,T-shirt,696.0
552,Expedited,Shirt,459.0
553,Standard,Trousers,625.0
554,Expedited,T-shirt,654.0
555,Expedited,Shirt,399.0
556,Expedited,T-shirt,595.0
557,Expedited,T-shirt,597.0
558,Expedited,T-shirt,582.0
559,Expedited,T-shirt,612.0
560,Expedited,T-shirt,654.0
561,Standard,Trousers,518.0
562,Expedited,T-shirt,820.0
563,Expedited,T-shirt,801.0
564,Standard,Shirt,
565,Expedited,Shirt,399.0
566,Expedited,Trousers,540.0
567,Expedited,T-shirt,1338.0
568,Expedited,Trousers,540.0
569,Expedited,Trousers,625.0
570,Standard,Shirt,364.0
571,Expedited,Shirt,429.0
572,Expedited,Blazzer,899.0
573,Expedited,T-shirt,
574,Expedited,T-shirt,1126.0
575,Expedited,T-shirt,788.0
576,Expedited,Trousers,432.0
577,Expedited,Shirt,376.0
578,Expedited,Blazzer,725.0
579,Expedited,Blazzer,744.0
580,Standard,Blazzer,825.0
581,Expedited,Shirt,399.0
582,Expedited,T-shirt,1213.0
583,Expedited,T-shirt,680.0
584,Standard,Shirt,568.0
585,Expedited,T-shirt,939.0
586,Expedited,Trousers,279.0
587,Expedited,Shirt,487.0
588,Expedited,Shirt,458.0
589,Expedited,Shirt,692.0
590,Expedited,Trousers,469.0
591,Expedited,Shirt,399.0
592,Expedited,T-shirt,599.0
593,Expedited,T-shirt,680.0
594,Expedited,T-shirt,
595,Expedited,Shoes,989.0
596,Standard,T-shirt,1099.0
597,Expedited,Blazzer,588.0
598,Expedited,T-shirt,999.0
599,Expedited,Shirt,487.0
600,Expedited,T-shirt,653.0
601,Expedited,T-shirt,496.0
602,Expedited,Shirt,319.0
603,Expedited,T-shirt,
604,Expedited,T-shirt,1112.0
605,Expedited,Shirt,517.0
606,Expedited,T-shirt,597.0
607,Expedited,T-shirt,1099.0
608,Expedited,Shirt,375.0
609,Expedited,Shirt,517.0
610,Expedited,T-shirt,692.0
611,Expedited,Shirt,486.0
612,Standard,T-shirt,696.0
613,Expedited,T-shirt,1115.0
614,Expedited,T-shirt,597.0
615,Expedited,T-shirt,1115.0
616,Expedited,T-shirt,1112.0
617,Expedited,T-shirt,
618,Expedited,T-shirt,1338.0
619,Expedited,Shirt,517.0
620,Expedited,Shirt,329.0
621,Expedited,Blazzer,725.0
622,Expedited,Shirt,363.0
623,Expedited,T-shirt,666.0
624,Expedited,T-shirt,
625,Expedited,Blazzer,588.0
626,Expedited,T-shirt,449.0
627,Expedited,T-shirt,696.0
628,Expedited,Shirt,459.0
629,Standard,Trousers,625.0
630,Expedited,T-shirt,654.0
631,Expedited,T-shirt,
632,Expedited,Shirt,
633,Expedited,Shirt,
634,Expedited,T-shirt,
635,Expedited,Shirt,458.0
636,Expedited,T-shirt,597.0
637,Expedited,T-shirt,597.0
638,Standard,Shirt,1249.0
639,Expedited,T-shirt,801.0
640,Standard,Shirt,
641,Expedited,Shirt,393.0
642,Expedited,Blazzer,744.0
643,Expedited,Trousers,540.0
644,Expedited,T-shirt,696.0
645,Expedited,Trousers,512.0
646,Expedited,T-shirt,922.0
647,Expedited,T-shirt,818.0
648,Expedited,T-shirt,2224.0
649,Expedited,T-shirt,1112.0
650,Expedited,T-shirt,792.0
651,Expedited,T-shirt,824.0
652,Standard,Shirt,358.1
653,Expedited,T-shirt,
654,Expedited,T-shirt,759.0
655,Expedited,Blazzer,744.0
656,Expedited,T-shirt,1140.0
657,Expedited,Blazzer,625.0
658,Standard,Trousers,518.0
659,Standard,T-shirt,759.0
660,Expedited,Blazzer,744.0
661,Expedited,T-shirt,1112.0
662,Expedited,T-shirt,1140.0
663,Expedited,Shirt,486.0
664,Standard,T-shirt,888.0
665,Expedited,T-shirt,666.0
666,Standard,Shirt,487.0
667,Standard,T-shirt,597.0
668,Standard,Shirt,363.0
669,Expedited,Trousers,512.0
670,Expedited,Blazzer,377.0
671,Expedited,Blazzer,377.0
672,Expedited,T-shirt,
673,Standard,Shirt,
674,Expedited,T-shirt,967.0
675,Standard,T-shirt,788.0
676,Expedited,T-shirt,
677,Standard,T-shirt,1058.93
678,Standard,T-shirt,1249.11
679,Expedited,T-shirt,597.0
680,Expedited,T-shirt,1112.0
681,Standard,Shirt,700.96
682,Expedited,T-shirt,1213.0
683,Expedited,Shirt,517.0
684,Standard,T-shirt,662.0
685,Expedited,Shirt,568.0
686,Expedited,Shirt,476.0
687,Standard,Shirt,316.0
688,Expedited,Shirt,486.0
689,Expedited,Shirt,517.0
690,Expedited,T-shirt,1186.0
691,Expedited,Shirt,376.0
692,Expedited,Trousers,
693,Expedited,T-shirt,715.0
694,Expedited,T-shirt,1065.0
